word	mapping
0	0_001 0_001
1	1_001 1_001
2	2_001 2_001
3	3_001 3_001
4	4_001 4_001
5	5_001 5_001
6	6_001 6_001
7	7_001 7_001
8	8_001 8_001
9	9_001 9_001
a	a_001 a_001
abandon	abandoned_001 abandoned_002 abandoned_003
absent	absent_001 absent_002 absent_003 absent_004
accident	accident_001 accident_002
accompany	accompany_001 accompany_002 accompany_003 accompany_004 accompany_005 accompany_006
accuse	accuse_001 accuse_002 accuse_003
across	across_001 across_002 across_003 across_004 across_005 across_006 across_007
action	action_001 action_002
address	address_001 address_002 address_003 address_004
advertisement	advertisement_001 advertisement_002 advertisement_003 advertisement_004 
advice	advice_001 advice_002 advice_003 advice_004
aeroplane	aeroplane_001 aeroplane_002 aeroplane_003 aeroplane_004
afraid	afraid_001 afraid_002 afraid_003 afraid_004
after	after_001 after_002
afternoon	afternoon_001 afternoon_002 afternoon_003 afternoon_004 afternoon_005 afternoon_006
again	again_001 again_002
against	against_001 against_002 against_003 against_004
agree	agree_001 agree_002
air	air_001 air_002 air_003
alert	alert_001 alert_002 alert_003 alert_004
all	all_001 all_002 all_003 all_004
all_the_best	all_the_best_001 all_the_best_002 all_the_best_003 all_the_best_004
allow	allow_001 allow_001 allow_002 allow_002
alone	alone_001 alone_002 alone_003 alone_004
already	past_001 past_002 past_003 past_004 past_005 past_006 past_007
ambitious	ambitious_001 ambitious_002 ambitious_003 ambitious_004 ambitious_005 ambitious_006 ambitious_007
ambulance	ambulance_001 ambulance_002 ambulance_003 ambulance_004 ambulance_002 ambulance_003 ambulance_004 ambulance_002 ambulance_003 ambulance_004
and	and_001 and_002 and_003 and_004 and_005
angry	angry_001 angry_002 angry_003
animal	animal_001 animal_002
answer	answer_001 answer_002 answer_001 answer_002
anxious	anxious_001 anxious_002 anxious_003 anxious_004 anxious_005 anxious_006 anxious_007 anxious_008
anyone	anyone_001 anyone_002 anyone_003
anything	anything_001 anything_002 anything_003
appear	appear_001 appear_002 appear_003 appear_004 appear_005 appear_006
apple	apple_001 apple_002 apple_003 apple_004 apple_005
apply	applies_001 applies_002 applies_003
appointment	appointment_001 appointment_002 appointment_003
army	army_001 army_002
around	around_001 around_002 around_003 around_004 around_005
arrest	arrest_001 arrest_001
artist	artist_001 artist_002
asked	say_001 say_002 
atleast	atleast_001 atleast_002 atleast_003 atleast_004
attack	attack_001 attack_002 attack_003
attendance	attendance_001 attendance_002
attention	attention_001 attention_002 attention_003
audience	audience_001 audience_002 audience_003 audience_004 audience_005
auto	auto_001 auto_001
away	away_001 away_002 away_003
b	b_001 b_001
baby	baby_001 baby_002
bad	bad_001 bad_002
badges	badges_001 badges_002 
bag	bag_001 bag_002 
barber	barber_001 barber_002 barber_003
bark	barking_001 barking_002 barking_003 barking_004
bath	bath_001 bath_002 bath_003 bath_004 bath_005
bathroom	bathroom_001 bathroom_002 bathroom_003 bathroom_004 bathroom_005 bathroom_006
be	be_001 be_002 be_003
bear	bear_001 bear_002 bear_003 bear_004
beat	beat_001 beat_002 beat_003
beauty	beauty_001 beauty_002 beauty_003 beauty_004 beauty_005
became	be_001 be_002 be_003
because	because_001 because_002
bed	bed_001 bed_002 bed_003 bed_004
before	past_001 past_002 past_003 past_004 past_005 past_006 past_007
behaviour	behaviour_001 behaviour_002 behaviour_003 behaviour_004 behaviour_005 behaviour_006
behind	behind_001 behind_002 behind_003
below	below_001 below_002 below_003
bend	bend_001 bend_002
best	good_001 good_001
between	between_001 between_002 between_003 between_004
big	big_001 big_002
bird	bird_001 bird_002 bird_003
birthday	birthday_001 birthday_002 birthday_003 birthday_004 birthday_005 birthday_006
bit	bit_001 bit_002 bit_003
bitter	bitter_001 bitter_002
black	black_001 black_001
blank	blank_001 blank_001
blue	blue_001 blue_002 blue_003 blue_004
boat	boat_001 boat_002 boat_003 boat_004 boat_005 boat_006 boat_007 boat_008 boat_009
book	book_001 book_002 book_003 book_004
bookcase	bookcase_001 bookcase_002 bookcase_003 bookcase_004 bookcase_005 bookcase_006 bookcase_007
bookv	bookv_001 bookv_002
bored	bored_001 bored_002 bored_003 bored_004
born	born_001 born_002
boss	boss_001 boss_001
both	2_001 2_001
bottle	bottle_001 bottle_001
box	box_001 box_002 box_003
boy	boy_001 boy_002 
break	break_001 break_002
breathe	breathe_001 breathe_002 breathe_003
bride	bride_001 bride_001
broken	broken_001 broken_002 
brother	father_003 father_004 brother_002
brown	brown_001 brown_002 brown_003 brown_004
buffalo	buffalo_001 buffalo_002 buffalo_003 buffalo_004 buffalo_005
building	building_001 building_002 building_003 building_004 building_005
bun	bun_001 bun_002
burn	burn_001 burn_002 burn_003 burn_004 burn_005 
bus_stop	bus_stop_001 bus_stop_002 bus_stop_003 bus_stop_004
bush	bush_001 bush_002 bush_003 bush_004 bush_005 bush_006 bush_007
busy	busy_001 busy_002 busy_003 busy_004 busy_005 busy_006
but	but_001 but_002 but_003
c	c_001 c_001
cafeteria	cafeteria_001 cafeteria_002 cafeteria_003 cafeteria_004
call	call_001 call_002
camp	camp_001 camp_002 camp_003
can	can_001 can_002 
candidate	candidate_001 candidate_002 candidate_003
capture	capture_001 capture_002 capture_003
care	care_001 care_002 care_003
careful	careful_001 careful_002 careful_003 careful_004 careful_004 careful_005 careful_006
cat	cat_001 cat_002
catch	catch_001 catch_002 catch_003 catch_004
celebrate	celebrated_001 celebrated_002 celebrated_003 celebrated_004
chair	chair_001 chair_002
change	change_001 change_002 change_003 change_004 change_005 change_006
child	child_001 child_001
children	children_001 children_002 children_003 children_004
christian	christian_001 christian_002 christian_003 christian_004
church	church_001 church_002 church_003
city	city_001 city_002
class	class_001 class_002
clean	clean_001 clean_003 clean_002 clean_003
clerk	clerk_001 clerk_002 clerk_003 clerk_004 clerk_005 clerk_006 clerk_007 clerk_008 clerk_009 clerk_010
climb	climbed_001 climbed_002 
close	close_001 close_002 close_003 close_004
coffee	coffee_001 coffee_002 coffee_003 coffee_004 coffee_005 coffee_006 coffee_007 coffee_008 coffee_009
coin	coin_001 coin_002 coin_003 coin_004 coin_001 coin_002 coin_003 coin_004 
cold	cold_001 cold_002
collect	collect_001 collect_002 collect_003 collect_001 collect_002 collect_003 
college	college_001 college_002
come	come_001 come_002 come_003
communicate	communicate_001 communicate_002 communicate_003 communicate_004 communicate_005 
complain	complaining_001 complaining_002 complaining_003
complete	complete_001 complete_002 complete_003
compromize	compromize_001 compromize_002 compromize_003 compromize_004
computer	computer_001 computer_002 computer_003
concern	concern_001 concern_002 concern_003
confused	confused_001 confused_002 confused_003 confused_004
congress	congress_001 congress_001
connect	connect_001 connect_002 connect_003 connect_004 connect_005 connect_006
contain	contains_001 contains_002
continue	continued_001 continued_002 continued_003
cook	cook_001 cook_002 cook_003 cook_004 cook_005 
correct	correct_001 correct_002 correct_003
country	country_001 country_002 country_003 country_004
cow	cow_001 cow_002
cracker	cracker_001 cracker_002 cracker_003 cracker_001 cracker_002 cracker_003
cricket	cricket_001 cricket_002 cricket_003 cricket_004
crow	bird_001 bird_002 bird_003
crush	crushed_001 crushed_002 crushed_003
cry	cry_001 cry_002 cry_003 
cultivation	cultivation_001 cultivation_002 cultivation_003 cultivation_004
cup	cup_001 cup_002 cup_003
cut	cut_001 cut_002
d	d_001 d_001
dancer	dancer_001 dancer_002 dancer_003 dancer_004
danger	dangerous_001 dangerous_001
dark	dark_001 dark_002 dark_003 dark_004 dark_005
data	data_001 data_002 data_003 data_004
date	date_001 date_002 date_003 date_004 date_005 date_006
day	day_001 day_002 day_003
decay	decay_001 decay_002 decay_003 decay_004 decay_005
decide	decide_001 decide_002
deep_breath	deep_breath_001 deep_breath_002 deep_breath_003 deep_breath_004 deep_breath_005 deep_breath_006 deep_breath_007
deer	deer_001 deer_001
degrees	degrees_001 degrees_002 
delete	delete_001 delete_002 delete_003 delete_004
desire	like_001 like_002
desk	desk_001 desk_002 desk_003
