english	hindi
Aabheer	आभीर
Aachman	आचमन
Aadarsh	आदर्श
Aadesh	आदेश
Aadhira	आधिरा
Aadi	आदि
Aadidev	आदिदेव
Aadil	आदिल
Aadinath	आदिनाथ
Aadit	आदित
Aaditeya	आदितेय
Aaditya	आदित्य
Aafreen	आफ्रीन
Aagam	आगम
Aagney	आग्नेय
Aagneya	आग्नेय
Aahlaad	आहलाद
Aahva	आहवा
Aakar	आकर
Aakarshan	आकर्षण
Aakash	आकाश
Aalam	आलम
Aalap	आलाप
Aalok	आलोक
Aamir	आमिर
Aamod	आमोद
Aanand	आनंद
Aanandswarup	आनंदस्वरूप
Aandaleeb	आनदालीब
Aanjaneya	आंजनेय
Aapt	आप्त
Aaradhak	आराधक
Aarif	आरिफ
Aariz	आरिज़
Aashish	आशीष
Aasim	आसिम
Aatreya	आत्रेय
Aayu	आयु
Aayushman	आयुष्मान
Abaan	अबान
Abbas	अब्बास
Abdul	अब्दुल
Abdul-Azeez	अब्दुल-अज़ीज़
Abdul-Baari	अब्दुल-बारी
Abdul-Ghafoor	अब्दुल-घाफूर
Abdul-Hafiz	अब्दुल-हाफिज़
Abdul-Hameed	अब्दुल-हमीद
Abdul-Haseeb	अब्दुल-हसीब
Abdul-Jabar	अब्दुल-जबार
Abdul-Jaleel	अब्दुल-जलील
Abdul-Khaliq	अब्दुल-खालिक
Abdullah	अब्दुल्लाह
Abdul-Qadir	अब्दुल-कादिर
Abdul-Qahaar	अब्दुल-कहार
Abdul-Qudoos	अब्दुल-कुदूस
Abdul-Raheem	अब्दुल-रहीम
Abdul-Raouf	अब्दुल-रौफ
Abdul-Rasheed	अब्दुल-रशीद
Abdul-Razaaq	अब्दुल-रजाक
Abdul-Salaam	अब्दुल-सलाम
Abdul-Waahid	अब्दुल-वाहिद
Abdul-Wadood	अब्दुल-वादूद
Abed	आबेद
Abedin	आबेदीन
Abeer	अबीर
Abhay	अभय
Abhayananda	अभयानंदा
Abhayaprada	अभयप्रदा
Abheek	अभीक़
Abhi	अभी
Abhibhava	अभिभवा
Abhicandra	अभिकांद्र
Abhidi	अभीदी
Abhihita	अभिहीता
Abhijat	अभिजात
Abhijay	अभिजय
Abhijaya	अभिजया
Abhijit	अभिजीत
Abhijvala	अभिज्वाला
Abhik	अभिक
Abhilash	अभिलाश
Abhimand	अभिमंद
Abhimani	अभिमानी
Abhimanyu	अभिमन्यु
Abhimanyusuta	अभिमन्यूसुता
Abhimoda	अभिमोदा
Abhinabhas	अभिनभस
Abhinanda	अभिनंदा
Abhinandan	अभिनन्दन
Abhinandana	अभिनंदना
Abhinatha	अभिनाथा
Abhinav	अभिनव
Abhinava	अभिनवा
Abhinivesh	अभिनिवेश
Abhiraj	अभिराज
Abhiram	अभिराम
Abhirath	अभिरथ
Abhirup	अभिरूप
Abhisar	अभिसार
Abhishek	अभिषेक
Abhisoka	अभिसोका
Abhisumat	अभिसुमत
Abhisyanta	अभिस्यनता
Abhivadan	अभिवादन
Abhivanth	अभिवंथ
Abhivira	अभिवीरा
Abhra	अभरा
Abhrakasin	अभ्रकासिन
Abhyagni	अभ्याग्नी
Abhyudaya	अभ्युदया
Abhyudita	अभ्युदिता
Abid	आबिद
Abjayoni	अब्जायोनी
Abjit	अब्जित
Abu Bakr	अबू बक्र
Abul Khayr	अबुल खेर
Acalapati	अकालपति
Acalendra	अकालेंद्र
Acalesvara	अकालेस्वरा
Acanda	अकांदा
Acarya	अकार्या
Acaryanandana	अकार्यानंदना
Acaryasuta	अकार्यसुता
Acaryatanaya	अकार्यतान्या
Acchindra	अच्चिन्द्र
Achal	अचल
Achalendra	अचलेंद्र
Achalraj	अचलराज
Achintya	अचिंत्य
Achyut	अच्युत
Achyuta	अच्युता
Achyuthan	अच्युथन
Acintya	अचिंत्य
Acyutaraya	अच्युतराया
Adalarasu	अदालरासू
Adarsh	आदर्श
Adeep	अदीप
Adesh	आदेश
Adham	अदहम
